Id,Comments
@user-rk8fd7rs2h,불명은 커버곡 컨테스트가 아닌 편곡해서 부르는 프로그램으로 알고 있는데 진짜 곡 해석 잘함...완전히 가사를 이해한 편곡임ㅠㅠ분명히 우승 생각했으면 원곡 비슷하게 가는게 안전빵인걸 알았을텐데 그것보다 자기만의 해석과 편곡을 택한게 ㄹㅇ간지ㅠㅠ이 무대 끝나고 배철수님이 잔나비 보고 가장 사랑하는 후배라 하셨는데 역시 찐을 알아보심......
@user-pz8rr2fl1v,"아니 이친구 경연을 하랬더니 콘서트를 해버리네,,  내가형이지만 진심 형이라고 부르고싶네"
@user-nk1dj8gd6k,배철수님 편에서 잔나비가 나왔었네요 이런 인재를 왜 그 땐 못 알아봤을까요? 지금은 잔나비 모든 노래를 다 알지만~~^^ 미안했어요 영원한 사랑을 드릴께요
@ha2il,와... 잔나비는 진짜.... 5시까지 안 자고 듣는데 빈둥대도 내가 뭔가 개척한 느낌이네... 음악이 주는 힘이 참 신기하고 새롭고 웅장하네 멋지다
@Yellowheart973,비비안웨스트우드 귀걸이 저렇게 잘 어울리는 사람은 첨 봄
@user-pn9hw7cu5c,"백예린, 잔나비 같은 짙은 감성이 좋다. 때로는 단풍잎이 날리기도, 어쩔 땐 비가 내려 흙내가 나거나, 무더운 여름날 선선한 바람같이 곁에 머물다 가는 .. 기억에 가슴에 남아 한 번씩 더 들으러 오다가 어느새 매일 듣게 되는 그런 곡들이 좋다."
@bambambambambam6903,"when he sang, he was the old king. he captured the theatrical aspect of this song sooooo well"
@qkqhemf6513,배철수씨 표정이 모든걸 말해주네요
@user-yx8kp5rw3v,"잔나비가 비바라비다 원투데이 불렀을까..... 그동안 정말 수도 없이 부르고 불러서, 마침내 방송국 카메라 앞에서 불렀다. 앞으로도 락앤론!!"
@myano5546,잔나비 진짜 대박이다ㅋㅋㅋ 머리부터 발끝까지 소름돋음.. 왜 콘서트 맛집이라고 하는지 알겠네
@pickbettermedia1706,Never seen a more mesmerizing performance in my life.
@tom5426,김도형 기타 진짜 맛깔난다.... 드럼 잔잔하게 치고 올라오는 것도 최고임 ... 합이 너무 좋은 밴드 ..... 너무 좋음 .....
@jinnykoh1,"내 장담함. 잔나비는 더더더흥해서, 전설을 써내려 갈것임. 이 한곡의 커버만 봐도 너무 명확하다!!!!"
@user-kq1oz1xi1u,유튜브 알고리즘 오늘만큼은 ㅈㄴ 사랑한다
@user-sc6tr9bn4h,ㅜㅠ 아흑. 눈물나게 아름답다. 그의 목소리와 이 편곡에... 완벽한 연주와 보컬까지..... 이 모든 것 함께 나눌 수 있음이 벅차는 오늘 ㅜㅠ
@ansgust,이 곡 원곡자가 잔나비라고 해도 믿을만큼 이렇게 완벽한 편곡을 봐본 적이 없어.. 잔나비 진짜 대단하다
@Attractive-298,보컬의 독보적인 음색에 반하고  탁월한 곡해석력과 절제된 편곡에 감탄하고 간다.  얘네는 인정멋지다
@musicm7247,이 곡을 이렇게 연주하고 이렇게 부를 수도 있다는게 너무 신기하다. 게다가 보컬  외모랑 음색은 진짜 독보적이다.  자꾸만 보게되는 마약 영상 ..
@user-xz8dg6ft1i,현생 다 때려치우고 방청가서  내 두 눈으로 본거 진심 1도 후회 없어............
@user-wd6jz3yg6o,잔나비 이 무대는 진짜 레전드인거같다...
@ocean_wave,후배의 모습을 보며 감탄하는 이제는 나이가 많이 드신 배철수님의 모습과 찬란하게 빛나는 젊음을 내뿜으며 자신들의 음악을 노래하는 잔나비의 모습을 번갈아 보니까 왠지 기분이 묘하네요
@cloudchoi1417,방송못봤는데  와~~~ 잔잔한감동ㆍ 외국인들의 좋은댓글들도 인상적이네요 GOOD!!!
